"행정구역","2017년_계_총인구수","2017년_계_연령구간인구수","2017년_계_0~9세","2017년_계_10~19세","2017년_계_20~29세","2017년_계_30~39세","2017년_계_40~49세","2017년_계_50~59세","2017년_계_60~69세","2017년_계_70~79세","2017년_계_80~89세","2017년_계_90~99세","2017년_계_100세 이상","2017년_남_총인구수","2017년_남_연령구간인구수","2017년_남_0~9세","2017년_남_10~19세","2017년_남_20~29세","2017년_남_30~39세","2017년_남_40~49세","2017년_남_50~59세","2017년_남_60~69세","2017년_남_70~79세","2017년_남_80~89세","2017년_남_90~99세","2017년_남_100세 이상","2017년_여_총인구수","2017년_여_연령구간인구수","2017년_여_0~9세","2017년_여_10~19세","2017년_여_20~29세","2017년_여_30~39세","2017년_여_40~49세","2017년_여_50~59세","2017년_여_60~69세","2017년_여_70~79세","2017년_여_80~89세","2017년_여_90~99세","2017년_여_100세 이상","2018년_계_총인구수","2018년_계_연령구간인구수","2018년_계_0~9세","2018년_계_10~19세","2018년_계_20~29세","2018년_계_30~39세","2018년_계_40~49세","2018년_계_50~59세","2018년_계_60~69세","2018년_계_70~79세","2018년_계_80~89세","2018년_계_90~99세","2018년_계_100세 이상","2018년_남_총인구수","2018년_남_연령구간인구수","2018년_남_0~9세","2018년_남_10~19세","2018년_남_20~29세","2018년_남_30~39세","2018년_남_40~49세","2018년_남_50~59세","2018년_남_60~69세","2018년_남_70~79세","2018년_남_80~89세","2018년_남_90~99세","2018년_남_100세 이상","2018년_여_총인구수","2018년_여_연령구간인구수","2018년_여_0~9세","2018년_여_10~19세","2018년_여_20~29세","2018년_여_30~39세","2018년_여_40~49세","2018년_여_50~59세","2018년_여_60~69세","2018년_여_70~79세","2018년_여_80~89세","2018년_여_90~99세","2018년_여_100세 이상","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상","2020년_계_총인구수","2020년_계_연령구간인구수","2020년_계_0~9세","2020년_계_10~19세","2020년_계_20~29세","2020년_계_30~39세","2020년_계_40~49세","2020년_계_50~59세","2020년_계_60~69세","2020년_계_70~79세","2020년_계_80~89세","2020년_계_90~99세","2020년_계_100세 이상","2020년_남_총인구수","2020년_남_연령구간인구수","2020년_남_0~9세","2020년_남_10~19세","2020년_남_20~29세","2020년_남_30~39세","2020년_남_40~49세","2020년_남_50~59세","2020년_남_60~69세","2020년_남_70~79세","2020년_남_80~89세","2020년_남_90~99세","2020년_남_100세 이상","2020년_여_총인구수","2020년_여_연령구간인구수","2020년_여_0~9세","2020년_여_10~19세","2020년_여_20~29세","2020년_여_30~39세","2020년_여_40~49세","2020년_여_50~59세","2020년_여_60~69세","2020년_여_70~79세","2020년_여_80~89세","2020년_여_90~99세","2020년_여_100세 이상"
"서울특별시  (1100000000)","9,857,426","9,857,426","728,462","894,656","1,447,115","1,579,189","1,647,989","1,553,543","1,109,052","635,309","223,113","33,479","5,519","4,830,206","4,830,206","373,353","461,597","720,019","790,867","818,309","759,316","525,418","290,349","81,165","8,485","1,328","5,027,220","5,027,220","355,109","433,059","727,096","788,322","829,680","794,227","583,634","344,960","141,948","24,994","4,191","9,765,623","9,765,623","690,368","855,121","1,449,790","1,548,770","1,590,374","1,546,954","1,142,415","660,825","238,869","36,294","5,843","4,773,899","4,773,899","353,981","440,320","716,197","774,185","789,945","756,599","540,814","301,846","89,309","9,253","1,450","4,991,724","4,991,724","336,387","414,801","733,593","774,585","800,429","790,355","601,601","358,979","149,560","27,041","4,393","9,729,107","9,729,107","662,693","819,571","1,456,623","1,509,959","1,560,983","1,539,968","1,189,802","684,087","259,487","39,690","6,244","4,744,059","4,744,059","340,334","421,339","713,660","754,830","773,528","754,442","562,796","311,890","99,231","10,413","1,596","4,985,048","4,985,048","322,359","398,232","742,963","755,129","787,455","785,526","627,006","372,197","160,256","29,277","4,648","9,668,465","9,668,465","623,745","781,866","1,460,411","1,475,106","1,528,182","1,523,556","1,243,954","704,076","278,094","42,683","6,792","4,701,723","4,701,723","320,275","401,285","707,669","737,901","756,950","748,582","587,294","320,416","108,339","11,221","1,791","4,966,742","4,966,742","303,470","380,581","752,742","737,205","771,232","774,974","656,660","383,660","169,755","31,462","5,001"
"서울특별시 종로구 (1111000000)","154,770","154,770","9,003","12,978","23,907","21,433","25,072","25,857","18,058","12,439","4,922","875","226","75,967","75,967","4,576","6,586","12,163","10,650","12,263","13,125","8,780","5,528","1,920","310","66","78,803","78,803","4,427","6,392","11,744","10,783","12,809","12,732","9,278","6,911","3,002","565","160","153,065","153,065","8,588","12,383","23,765","21,231","23,849","25,744","18,581","12,517","5,216","960","231","74,825","74,825","4,380","6,258","11,927","10,523","11,606","12,931","9,157","5,576","2,060","334","73","78,240","78,240","4,208","6,125","11,838","10,708","12,243","12,813","9,424","6,941","3,156","626","158","151,290","151,290","8,211","11,748","23,572","20,376","23,077","25,714","19,128","12,538","5,673","1,000","253","73,746","73,746","4,143","5,932","11,684","10,086","11,222","12,932","9,486","5,552","2,274","353","82","77,544","77,544","4,068","5,816","11,888","10,290","11,855","12,782","9,642","6,986","3,399","647","171","149,384","149,384","7,527","11,013","23,416","19,943","22,231","25,459","19,948","12,500","5,978","1,093","276","72,635","72,635","3,803","5,495","11,505","9,910","10,834","12,784","9,903","5,518","2,415","371","97","76,749","76,749","3,724","5,518","11,911","10,033","11,397","12,675","10,045","6,982","3,563","722","179"
"서울특별시 중구 (1114000000)","125,709","125,709","7,927","8,129","18,102","20,395","19,801","21,022","15,745","9,832","3,924","666","166","62,253","62,253","3,991","4,124","9,001","10,348","10,213","10,709","7,843","4,374","1,392","211","47","63,456","63,456","3,936","4,005","9,101","10,047","9,588","10,313","7,902","5,458","2,532","455","119","125,725","125,725","7,597","7,693","18,267","20,770","18,968","21,024","16,276","10,064","4,173","714","179","61,947","61,947","3,806","3,900","8,950","10,432","9,776","10,734","8,071","4,504","1,500","219","55","63,778","63,778","3,791","3,793","9,317","10,338","9,192","10,290","8,205","5,560","2,673","495","124","126,171","126,171","7,389","7,308","18,473","20,662","18,491","20,956","16,948","10,380","4,542","835","187","61,910","61,910","3,758","3,722","8,937","10,344","9,408","10,663","8,453","4,636","1,676","252","61","64,261","64,261","3,631","3,586","9,536","10,318","9,083","10,293","8,495","5,744","2,866","583","126","125,240","125,240","6,836","6,773","18,586","20,107","18,011","20,702","17,551","10,733","4,836","900","205","61,222","61,222","3,505","3,408","8,851","10,027","9,222","10,508","8,714","4,839","1,800","283","65","64,018","64,018","3,331","3,365","9,735","10,080","8,789","10,194","8,837","5,894","3,036","617","140"
"서울특별시 용산구 (1117000000)","229,161","229,161","15,310","18,008","31,993","38,016","38,441","35,846","25,834","16,875","7,264","1,262","312","110,878","110,878","7,849","9,266","15,653","18,933","19,044","17,666","12,145","7,204","2,639","395","84","118,283","118,283","7,461","8,742","16,340","19,083","19,397","18,180","13,689","9,671","4,625","867","228","228,999","228,999","14,706","17,149","32,515","38,285","37,130","36,247","26,537","16,995","7,733","1,365","337","110,640","110,640","7,601","8,731","15,766","19,109","18,282","17,890","12,571","7,325","2,853","421","91","118,359","118,359","7,105","8,418","16,749","19,176","18,848","18,357","13,966","9,670","4,880","944","246","228,670","228,670","14,132","16,391","32,837","38,033","36,159","36,459","27,485","17,122","8,176","1,523","353","110,356","110,356","7,310","8,363","15,830","18,977","17,798","18,020","13,042","7,388","3,055","475","98","118,314","118,314","6,822","8,028","17,007","19,056","18,361","18,439","14,443","9,734","5,121","1,048","255","230,040","230,040","13,496","15,609","33,485","38,069","35,698","37,070","28,840","17,203","8,572","1,627","371","110,722","110,722","6,970","7,932","15,925","19,032","17,529","18,344","13,760","7,401","3,219","503","107","119,318","119,318","6,526","7,677","17,560","19,037","18,169","18,726","15,080","9,802","5,353","1,124","264"
"서울특별시 성동구 (1120000000)","304,808","304,808","23,437","23,854","45,940","52,396","50,183","48,614","32,557","19,691","6,994","927","215","150,368","150,368","11,951","11,933","23,166","26,137","25,421","24,489","15,661","8,784","2,519","250","57","154,440","154,440","11,486","11,921","22,774","26,259","24,762","24,125","16,896","10,907","4,475","677","158","308,221","308,221","23,077","22,969","46,897","53,359","49,231","49,449","34,279","20,166","7,535","1,030","229","151,359","151,359","11,749","11,523","23,266","26,467","24,898","24,764","16,629","8,986","2,739","275","63","156,862","156,862","11,328","11,446","23,631","26,892","24,333","24,685","17,650","11,180","4,796","755","166","300,889","300,889","21,983","21,435","45,985","50,964","47,169","48,446","35,133","20,424","8,014","1,102","234","147,273","147,273","11,226","10,733","22,759","25,122","23,710","24,243","17,031","9,093","2,989","303","64","153,616","153,616","10,757","10,702","23,226","25,842","23,459","24,203","18,102","11,331","5,025","799","170","293,556","293,556","20,449","19,815","45,043","48,905","45,020","47,248","36,534","20,586","8,520","1,185","251","143,387","143,387","10,469","9,891","22,271","24,032","22,575","23,582","17,809","9,170","3,185","331","72","150,169","150,169","9,980","9,924","22,772","24,873","22,445","23,666","18,725","11,416","5,335","854","179"
"서울특별시 광진구 (1121500000)","357,703","357,703","24,212","30,875","60,549","61,198","58,472","56,514","37,178","20,556","6,957","1,015","177","174,414","174,414","12,465","15,798","29,167","30,526","28,757","27,569","17,793","9,512","2,534","254","39","183,289","183,289","11,747","15,077","31,382","30,672","29,715","28,945","19,385","11,044","4,423","761","138","355,559","355,559","23,182","29,234","61,256","60,447","56,164","56,427","38,679","21,347","7,550","1,083","190","172,794","172,794","11,914","14,930","29,332","29,945","27,685","27,501","18,512","9,832","2,812","291","40","182,765","182,765","11,268","14,304","31,924","30,502","28,479","28,926","20,167","11,515","4,738","792","150","351,350","351,350","21,657","27,573","61,751","58,175","54,490","55,638","40,451","21,943","8,262","1,205","205","170,262","170,262","11,115","14,060","29,386","28,756","26,886","27,147","19,274","10,097","3,166","332","43","181,088","181,088","10,542","13,513","32,365","29,419","27,604","28,491","21,177","11,846","5,096","873","162","346,682","346,682","19,572","25,931","62,940","55,983","52,482","54,541","42,460","22,428","8,850","1,277","218","167,310","167,310","9,977","13,219","29,521","27,696","25,883","26,600","20,219","10,314","3,466","361","54","179,372","179,372","9,595","12,712","33,419","28,287","26,599","27,941","22,241","12,114","5,384","916","164"
"서울특별시 동대문구 (1123000000)","350,647","350,647","23,694","27,914","54,166","53,127","55,790","55,953","42,357","26,911","9,179","1,310","246","175,324","175,324","12,167","14,266","27,992","27,599","28,726","28,052","20,364","12,195","3,540","352","71","175,323","175,323","11,527","13,648","26,174","25,528","27,064","27,901","21,993","14,716","5,639","958","175","348,052","348,052","22,896","26,533","54,289","52,789","53,730","55,423","43,292","27,508","9,912","1,421","259","173,567","173,567","11,792","13,495","27,736","27,299","27,734","27,822","20,980","12,387","3,854","399","69","174,485","174,485","11,104","13,038","26,553","25,490","25,996","27,601","22,312","15,121","6,058","1,022","190","346,194","346,194","22,115","25,227","55,028","51,458","52,463","54,608","44,789","27,942","10,763","1,525","276","172,113","172,113","11,361","12,792","27,777","26,673","27,052","27,424","21,627","12,597","4,275","455","80","174,081","174,081","10,754","12,435","27,251","24,785","25,411","27,184","23,162","15,345","6,488","1,070","196","342,837","342,837","20,788","23,647","56,331","50,175","50,630","53,262","46,393","28,195","11,521","1,582","313","169,769","169,769","10,662","11,966","27,978","25,917","26,124","26,854","22,400","12,737","4,574","463","94","173,068","173,068","10,126","11,681","28,353","24,258","24,506","26,408","23,993","15,458","6,947","1,119","219"
"서울특별시 중랑구 (1126000000)","408,226","408,226","28,018","32,554","58,319","63,448","64,652","72,314","50,449","27,945","9,113","1,249","165","203,325","203,325","14,315","16,866","29,425","33,066","33,016","35,798","24,481","12,763","3,267","289","39","204,901","204,901","13,703","15,688","28,894","30,382","31,636","36,516","25,968","15,182","5,846","960","126","403,209","403,209","26,293","30,589","57,490","62,177","61,536","72,008","52,463","29,329","9,783","1,372","169","200,419","200,419","13,448","15,675","29,011","32,230","31,650","35,526","25,508","13,362","3,662","305","42","202,790","202,790","12,845","14,914","28,479","29,947","29,886","36,482","26,955","15,967","6,121","1,067","127","397,015","397,015","24,712","28,532","56,251","59,522","59,315","70,861","54,979","30,337","10,805","1,515","186","196,959","196,959","12,733","14,594","28,185","30,761","30,550","35,033","26,722","13,833","4,155","352","41","200,056","200,056","11,979","13,938","28,066","28,761","28,765","35,828","28,257","16,504","6,650","1,163","145","394,702","394,702","23,064","26,759","56,112","58,124","57,883","69,528","58,222","31,445","11,758","1,601","206","195,165","195,165","11,921","13,643","27,793","29,956","29,951","34,267","28,254","14,384","4,582","365","49","199,537","199,537","11,143","13,116","28,319","28,168","27,932","35,261","29,968","17,061","7,176","1,236","157"
"서울특별시 성북구 (1129000000)","444,055","444,055","33,599","41,755","63,881","64,447","76,956","68,590","49,697","31,940","11,309","1,569","312","216,556","216,556","17,201","21,302","31,805","32,072","38,539","33,536","23,260","14,167","4,187","410","77","227,499","227,499","16,398","20,453","32,076","32,375","38,417","35,054","26,437","17,773","7,122","1,159","235","435,868","435,868","31,323","40,086","63,590","62,008","73,259","68,347","50,620","32,478","12,097","1,728","332","211,904","211,904","16,071","20,452","31,413","30,854","36,467","33,540","23,718","14,254","4,597","453","85","223,964","223,964","15,252","19,634","32,177","31,154","36,792","34,807","26,902","18,224","7,500","1,275","247","442,650","442,650","30,994","39,102","66,270","62,041","72,541","69,841","53,047","33,198","13,357","1,896","363","214,437","214,437","15,859","19,980","32,366","30,843","35,847","34,323","25,035","14,451","5,147","491","95","228,213","228,213","15,135","19,122","33,904","31,198","36,694","35,518","28,012","18,747","8,210","1,405","268","437,153","437,153","28,822","37,145","66,972","59,843","69,839","69,381","54,897","33,568","14,229","2,073","384","210,810","210,810","14,723","18,918","32,219","29,773","34,424","34,207","25,747","14,662","5,510","531","96","226,343","226,343","14,099","18,227","34,753","30,070","35,415","35,174","29,150","18,906","8,719","1,542","288"
"서울특별시 강북구 (1130500000)","324,479","324,479","20,453","26,814","44,012","45,371","53,260","54,441","42,069","27,849","8,811","1,182","217","158,918","158,918","10,461","13,825","22,014","23,858","26,939","26,357","19,387","12,320","3,393","315","49","165,561","165,561","9,992","12,989","21,998","21,513","26,321","28,084","22,682","15,529","5,418","867","168","319,164","319,164","18,921","25,261","43,842","43,446","50,661","54,270","42,837","28,854","9,574","1,269","229","156,071","156,071","9,728","12,997","21,770","22,801","25,747","26,389","19,827","12,690","3,710","358","54","163,093","163,093","9,193","12,264","22,072","20,645","24,914","27,881","23,010","16,164","5,864","911","175","313,954","313,954","17,420","23,660","43,350","41,035","48,929","53,606","44,177","29,587","10,557","1,399","234","153,235","153,235","8,960","12,188","21,376","21,525","25,002","26,064","20,609","12,921","4,142","390","58","160,719","160,719","8,460","11,472","21,974","19,510","23,927","27,542","23,568","16,666","6,415","1,009","176","308,055","308,055","15,714","22,027","42,944","38,757","46,718","52,642","45,892","30,087","11,516","1,509","249","150,143","150,143","8,162","11,319","21,044","20,357","23,936","25,793","21,431","13,005","4,611","423","62","157,912","157,912","7,552","10,708","21,900","18,400","22,782","26,849","24,461","17,082","6,905","1,086","187"
"서울특별시 도봉구 (1132000000)","344,166","344,166","23,545","31,653","47,011","46,898","55,985","59,969","43,254","25,211","9,208","1,291","141","168,759","168,759","12,146","16,249","24,163","23,994","27,426","28,594","20,984","11,486","3,335","355","27","175,407","175,407","11,399","15,404","22,848","22,904","28,559","31,375","22,270","13,725","5,873","936","114","339,413","339,413","22,184","29,699","46,095","45,532","53,130","59,615","45,165","26,440","9,953","1,454","146","166,160","166,160","11,446","15,307","23,633","23,258","26,140","28,414","21,789","12,089","3,662","391","31","173,253","173,253","10,738","14,392","22,462","22,274","26,990","31,201","23,376","14,351","6,291","1,063","115","333,362","333,362","20,665","27,731","44,922","43,376","51,071","58,555","47,357","27,122","10,845","1,559","159","163,051","163,051","10,685","14,259","23,012","22,173","25,263","27,865","22,779","12,458","4,088","428","41","170,311","170,311","9,980","13,472","21,910","21,203","25,808","30,690","24,578","14,664","6,757","1,131","118","325,257","325,257","18,775","25,627","43,412","40,993","48,535","57,020","49,740","27,706","11,603","1,671","175","158,620","158,620","9,720","13,209","22,110","20,973","24,038","27,161","23,727","12,721","4,454","459","48","166,637","166,637","9,055","12,418","21,302","20,020","24,497","29,859","26,013","14,985","7,149","1,212","127"
"서울특별시 노원구 (1135000000)","554,403","554,403","41,235","63,992","76,738","74,678","98,387","89,761","59,742","34,145","13,563","1,924","238","269,508","269,508","21,146","33,293","39,837","37,087","47,016","43,494","28,155","14,490","4,481","441","68","284,895","284,895","20,089","30,699","36,901","37,591","51,371","46,267","31,587","19,655","9,082","1,483","170","543,752","543,752","38,147","60,444","76,371","71,376","93,598","89,522","62,273","35,303","14,403","2,074","241","263,919","263,919","19,618","31,468","39,541","35,385","44,730","43,381","29,268","15,147","4,830","479","72","279,833","279,833","18,529","28,976","36,830","35,991","48,868","46,141","33,005","20,156","9,573","1,595","169","532,905","532,905","35,765","56,848","74,581","67,330","89,904","88,956","64,980","36,542","15,507","2,240","252","257,923","257,923","18,411","29,590","38,517","33,453","42,879","43,083","30,365","15,730","5,276","542","77","274,982","274,982","17,354","27,258","36,064","33,877","47,025","45,873","34,615","20,812","10,231","1,698","175","523,037","523,037","33,182","53,235","73,182","64,740","86,240","87,828","67,804","37,536","16,494","2,508","288","252,383","252,383","17,046","27,624","37,550","32,242","41,036","42,599","31,554","16,226","5,786","635","85","270,654","270,654","16,136","25,611","35,632","32,498","45,204","45,229","36,250","21,310","10,708","1,873","203"
"서울특별시 은평구 (1138000000)","486,794","486,794","35,436","44,918","65,207","73,213","83,208","77,630","56,931","35,892","12,309","1,681","369","236,353","236,353","18,214","23,116","32,378","36,600","41,346","37,203","26,278","16,008","4,728","428","54","250,441","250,441","17,222","21,802","32,829","36,613","41,862","40,427","30,653","19,884","7,581","1,253","315","483,197","483,197","33,399","42,905","65,317","71,862","80,095","77,972","58,799","37,276","13,368","1,820","384","233,702","233,702","17,123","22,000","32,150","35,864","39,653","37,399","27,187","16,583","5,209","474","60","249,495","249,495","16,276","20,905","33,167","35,998","40,442","40,573","31,612","20,693","8,159","1,346","324","480,032","480,032","31,683","40,707","65,924","69,727","78,223","77,441","61,152","38,190","14,595","1,993","397","231,528","231,528","16,220","20,856","32,239","34,675","38,647","37,260","28,301","16,916","5,777","567","70","248,504","248,504","15,463","19,851","33,685","35,052","39,576","40,181","32,851","21,274","8,818","1,426","327","479,835","479,835","29,704","38,676","67,058","68,502","76,628","77,274","64,438","39,121","15,897","2,112","425","230,279","230,279","15,210","19,756","32,284","33,907","37,846","37,204","29,729","17,264","6,400","597","82","249,556","249,556","14,494","18,920","34,774","34,595","38,782","40,070","34,709","21,857","9,497","1,515","343"
